# Source: NUDEC_BSM v2 (https://github.com/MiguelEA/nudec_BSM/tree/v2)
# Escudero, Jackson, Laine, Sandner, arXiv:2511.04747 (2025)
# me = 0.51099895 MeV, alpha = 1/137.035999084
# T (MeV)           dP_int/dT (e^4) [MeV^3]
2.477566E+01        -7.981515E-01
2.475341E+01        -7.958719E-01
2.473117E+01        -7.935917E-01
2.470895E+01        -7.913211E-01
2.468676E+01        -7.890614E-01
2.466458E+01        -7.868013E-01
2.464242E+01        -7.845506E-01
2.462029E+01        -7.823015E-01
2.459817E+01        -7.800609E-01
2.457607E+01        -7.778303E-01
2.455400E+01        -7.756012E-01
2.453194E+01        -7.733806E-01
2.450990E+01        -7.711700E-01
2.448789E+01        -7.689705E-01
2.446589E+01        -7.667610E-01
2.444391E+01        -7.645699E-01
2.442195E+01        -7.623800E-01
2.440001E+01        -7.601995E-01
2.437809E+01        -7.580291E-01
2.435619E+01        -7.558592E-01
2.433431E+01        -7.536894E-01
2.431245E+01        -7.515385E-01
2.429061E+01        -7.493793E-01
2.426879E+01        -7.472385E-01
2.424699E+01        -7.450988E-01
2.422521E+01        -7.429686E-01
2.420345E+01        -7.408390E-01
2.418171E+01        -7.387189E-01
2.415998E+01        -7.366078E-01
2.413828E+01        -7.344983E-01
2.411660E+01        -7.323984E-01
2.409493E+01        -7.302980E-01
2.407329E+01        -7.282081E-01
2.405166E+01        -7.261273E-01
2.403006E+01        -7.240481E-01
2.400847E+01        -7.219774E-01
2.398690E+01        -7.199074E-01
2.396535E+01        -7.178468E-01
2.394383E+01        -7.157878E-01
2.392232E+01        -7.137374E-01
2.390083E+01        -7.116970E-01
2.387936E+01        -7.096572E-01
2.385791E+01        -7.076270E-01
2.383647E+01        -7.056058E-01
2.381506E+01        -7.035863E-01
2.379367E+01        -7.015668E-01
2.377229E+01        -6.995653E-01
2.375094E+01        -6.975566E-01
2.372960E+01        -6.955652E-01
2.370829E+01        -6.935761E-01
2.368699E+01        -6.915860E-01
2.366571E+01        -6.896055E-01
2.364445E+01        -6.876350E-01
2.362321E+01        -6.856652E-01
2.360199E+01        -6.836955E-01
2.358079E+01        -6.817448E-01
2.355960E+01        -6.797943E-01
2.353844E+01        -6.778449E-01
