# Source: NUDEC_BSM v2 (https://github.com/MiguelEA/nudec_BSM/tree/v2)
# Escudero, Jackson, Laine, Sandner, arXiv:2511.04747 (2025)
# me = 0.51099895 MeV, alpha = 1/137.035999084
# T (MeV)           d^2P_int/dT^2 (e^4) [MeV^2]
2.355960E+01        -9.205261E-02
2.353844E+01        -9.187261E-02
2.351730E+01        -9.169361E-02
2.349617E+01        -9.151365E-02
2.347506E+01        -9.133458E-02
2.345397E+01        -9.115653E-02
2.343291E+01        -9.097768E-02
2.341186E+01        -9.079964E-02
2.339082E+01        -9.062252E-02
2.336981E+01        -9.044462E-02
2.334882E+01        -9.026761E-02
2.332784E+01        -9.009152E-02
2.330689E+01        -8.991465E-02
2.328595E+01        -8.973952E-02
2.326503E+01        -8.956358E-02
2.324413E+01        -8.938853E-02
2.322325E+01        -8.921356E-02
2.320239E+01        -8.903859E-02
2.318155E+01        -8.886457E-02
2.316072E+01        -8.869054E-02
2.313992E+01        -8.851754E-02
2.311913E+01        -8.834454E-02
2.309836E+01        -8.817154E-02
2.307761E+01        -8.799855E-02
2.305688E+01        -8.782652E-02
2.303617E+01        -8.765455E-02
2.301548E+01        -8.748354E-02
2.299480E+01        -8.731252E-02
2.297414E+01        -8.714151E-02
2.295351E+01        -8.697059E-02
2.293289E+01        -8.680054E-02
2.291229E+01        -8.663057E-02
2.289170E+01        -8.646146E-02
2.287114E+01        -8.629157E-02
2.285059E+01        -8.612249E-02
2.283007E+01        -8.595450E-02
2.280956E+01        -8.578651E-02
2.278907E+01        -8.561853E-02
2.276860E+01        -8.545056E-02
2.274814E+01        -8.528346E-02
2.272771E+01        -8.511652E-02
2.270729E+01        -8.495044E-02
2.268689E+01        -8.478351E-02
2.266651E+01        -8.461746E-02
2.264615E+01        -8.445243E-02
2.262581E+01        -8.428747E-02
2.260548E+01        -8.412245E-02
2.258518E+01        -8.395752E-02
2.256489E+01        -8.379253E-02
2.254462E+01        -8.362848E-02
2.252436E+01        -8.346537E-02
2.250413E+01        -8.330242E-02
2.248391E+01        -8.313847E-02
2.246372E+01        -8.297642E-02
2.244354E+01        -8.281349E-02
2.242338E+01        -8.265146E-02
2.240323E+01        -8.248942E-02
2.238311E+01        -8.232841E-02
2.236300E+01        -8.216740E-02
2.234291E+01        -8.200641E-02
2.232284E+01        -8.184544E-02
2.230279E+01        -8.168541E-02
2.228275E+01        -8.152539E-02
2.226274E+01        -8.136639E-02
2.224274E+01        -8.120647E-02
2.222276E+01        -8.104743E-02
2.220279E+01        -8.088932E-02
2.218285E+01        -8.073044E-02
2.216292E+01        -8.057237E-02
2.214301E+01        -8.041532E-02
2.212312E+01        -8.025741E-02
2.210325E+01        -8.010039E-02
2.208339E+01        -7.994337E-02
2.206355E+01        -7.978730E-02
2.204373E+01        -7.963038E-02
2.202393E+01        -7.947435E-02
2.200415E+01        -7.931933E-02
2.198438E+01        -7.916432E-02
2.196463E+01        -7.900840E-02
2.194490E+01        -7.885429E-02
2.192519E+01        -7.869940E-02
2.190549E+01        -7.854531E-02
2.188581E+01        -7.839225E-02
2.186615E+01        -7.823833E-02
2.184651E+01        -7.808530E-02
2.182688E+01        -7.793228E-02
2.180728E+01        -7.777935E-02
2.178769E+01        -7.762730E-02
2.176811E+01        -7.747525E-02
2.174856E+01        -7.732330E-02
2.172902E+01        -7.717223E-02
2.170950E+01        -7.702124E-02
2.169000E+01        -7.687027E-02
2.167052E+01        -7.671932E-02
2.165105E+01        -7.656924E-02
2.163160E+01        -7.641925E-02
2.161217E+01        -7.626928E-02
2.159275E+01        -7.612019E-02
2.157336E+01        -7.597126E-02
2.155398E+01        -7.582227E-02
2.153461E+01        -7.567323E-02
2.151527E+01        -7.552521E-02
2.149594E+01        -7.537721E-02
2.147663E+01        -7.523015E-02
2.145734E+01        -7.508226E-02
2.143806E+01        -7.493517E-02
2.141881E+01        -7.478825E-02
2.139956E+01        -7.464212E-02
2.138034E+01        -7.449616E-02
2.136113E+01        -7.435015E-02
2.134195E+01        -7.420423E-02
2.132277E+01        -7.405911E-02
2.130362E+01        -7.391416E-02
2.128448E+01        -7.376916E-02
2.126536E+01        -7.362417E-02
2.124626E+01        -7.348014E-02
2.122717E+01        -7.333612E-02
2.120810E+01        -7.319306E-02
2.118905E+01        -7.304916E-02
2.117002E+01        -7.290613E-02
2.115100E+01        -7.276313E-02
2.113200E+01        -7.262107E-02
2.111302E+01        -7.247818E-02
2.109405E+01        -7.233610E-02
2.107510E+01        -7.219503E-02
2.105617E+01        -7.205313E-02
2.103725E+01        -7.191204E-02
2.101836E+01        -7.177111E-02
2.099948E+01        -7.163107E-02
2.098061E+01        -7.149011E-02
2.096176E+01        -7.135003E-02
2.094293E+01        -7.121005E-02
2.092412E+01        -7.107101E-02
2.090532E+01        -7.093107E-02
2.088654E+01        -7.079201E-02
2.086778E+01        -7.065397E-02
2.084904E+01        -7.051510E-02
2.083031E+01        -7.037704E-02
2.081159E+01        -7.023899E-02
2.079290E+01        -7.010197E-02
2.077422E+01        -6.996405E-02
2.075556E+01        -6.982700E-02
2.073691E+01        -6.968998E-02
2.071829E+01        -6.955398E-02
2.069967E+01        -6.941701E-02
2.068108E+01        -6.928098E-02
2.066250E+01        -6.914591E-02
2.064394E+01        -6.901001E-02
2.062539E+01        -6.887491E-02
2.060687E+01        -6.873998E-02
2.058835E+01        -6.860493E-02
2.056986E+01        -6.846998E-02
2.055138E+01        -6.833591E-02
2.053292E+01        -6.820193E-02
2.051447E+01        -6.806884E-02
2.049605E+01        -6.793499E-02
2.047763E+01        -6.780187E-02
2.045924E+01        -6.766892E-02
2.044086E+01        -6.753685E-02
2.042250E+01        -6.740395E-02
2.040415E+01        -6.727186E-02
2.038582E+01        -6.713987E-02
2.036751E+01        -6.700883E-02
2.034921E+01        -6.687689E-02
2.033093E+01        -6.674583E-02
2.031267E+01        -6.661487E-02
2.029442E+01        -6.648479E-02
2.027619E+01        -6.635388E-02
2.025798E+01        -6.622385E-02
2.023978E+01        -6.609385E-02
2.022160E+01        -6.596480E-02
2.020343E+01        -6.583486E-02
2.018528E+01        -6.570579E-02
2.016715E+01        -6.557774E-02
2.014903E+01        -6.544881E-02
2.013093E+01        -6.532074E-02
2.011285E+01        -6.519279E-02
2.009478E+01        -6.506478E-02
2.007673E+01        -6.493681E-02
2.005870E+01        -6.480978E-02
2.004068E+01        -6.468278E-02
2.002267E+01        -6.455575E-02
2.000469E+01        -6.442881E-02
1.998672E+01        -6.430275E-02
1.996876E+01        -6.417672E-02
1.995082E+01        -6.405072E-02
1.993290E+01        -6.392475E-02
1.991500E+01        -6.379972E-02
1.989711E+01        -6.367474E-02
1.987923E+01        -6.354971E-02
1.986137E+01        -6.342470E-02
1.984353E+01        -6.330065E-02
1.982571E+01        -6.317670E-02
